Distance in metres,Time in minutes,latitude,longitude
16814.477999999996,63.11740990990988,43.067887775209066,-2.6625801025001206
,,43.07165717816082,-2.6652653483401476
16814.477999999996,63.11740990990988,43.06922005457579,-2.66286946714884
16721.18,62.767192192192184,43.07055233119576,-2.663158849269591
16439.231000000003,61.70882507507508,43.07211199965848,-2.661631136941588
16721.18,62.767192192192184,43.07188460506907,-2.6634482488638183
16439.231000000003,61.70882507507508,43.0732168761958,-2.6637376659329766
17327.177000000007,65.04195570570572,43.0729894433213,-2.6655548048695974
17327.177000000007,65.04195570570572,43.07432170573488,-2.66584427887766
17769.495000000003,66.70230855855856,43.075426488272704,-2.6679509757787794
17327.177000000007,65.04195570570572,43.07565396540168,-2.6661337703657706
,,43.07675873922462,-2.668240524214246
16439.231000000003,61.70882507507508,43.07344427675068,-2.66192051454929
17327.177000000007,65.04195570570572,43.07454914457602,-2.664027100478499
16142.539000000002,60.59511636636637,43.07477655109675,-2.6622099096311374
16654.003,62.51502627627627,43.0750039252967,-2.660392706337138
16142.539000000002,60.59511636636637,43.076108822696746,-2.6624993221885553
17347.195000000007,65.11709834834838,43.0758814102098,-2.664316552501842
16205.771000000002,60.83247372372373,43.07633620286214,-2.660682079427493
15869.596000000003,59.57055555555556,43.077668477681954,-2.6609714699926426
15869.596000000003,59.57055555555556,43.077441091550774,-2.6627887522230056
17347.195000000007,65.11709834834838,43.077213673097255,-2.6646060220044405
16248.255000000001,60.991948198198195,43.07880492349041,-2.6518848721618147
,,43.07857769897622,-2.6537022166132815
,,43.07679086622686,-2.657047556568299
16654.003,62.51502627627627,43.07656355070563,-2.6588648242202204
15869.596000000003,59.57055555555556,43.077895831490444,-2.6591541753149164
,,43.07812315297589,-2.6573368681914027
,,43.078350442137925,-2.655519548623664
,,43.08059158936038,-2.648539277650414
,,43.08215103989268,-2.6470109660919725
,,43.08237814702541,-2.6451934929259235
,,43.08192390043286,-2.648828426820925
14934.937000000004,56.06207582582583,43.083256208762535,-2.649117593454912
,,43.08371046727548,-2.645482580588382
14934.937000000004,56.06207582582583,43.083483354182945,-2.647300093240766
15347.024000000003,57.60894894894896,43.08504278478356,-2.645771685711278
17347.195000000007,65.11709834834838,43.07698622232176,-2.666423279335378
,,43.078090987429526,-2.668530090134892
,,43.07831847649518,-2.6667128057879306
,,43.0794232328875,-2.6688196735421696
16355.709000000004,61.39530405405406,43.07965072792204,-2.667002349724878
15869.596000000003,59.57055555555556,43.07900074975624,-2.661260878034022
15955.056000000006,59.89135135135137,43.07877335765889,-2.6630781997359265
15955.056000000006,59.89135135135137,43.078545933238416,-2.664895508987754
15955.056000000006,59.89135135135137,43.08033301908506,-2.661550303553088
15955.056000000006,59.89135135135137,43.0801056210212,-2.663367664728767
15955.056000000006,59.89135135135137,43.0798781906334,-2.665185013453219
,,43.08166528566852,-2.661839746551287
16355.709000000004,61.39530405405406,43.08143788163775,-2.6636571472029713
16355.709000000004,61.39530405405406,43.08121044528226,-2.6654745354022893
,,43.08299754950667,-2.662129207030057
16355.709000000004,61.39530405405406,43.08098297660245,-2.6672919111476596
16355.709000000004,61.39530405405406,43.080755475598636,-2.669109274437517
16695.966,62.67254504504504,43.08208771556299,-2.669398892822389
16355.709000000004,61.39530405405406,43.08231522253644,-2.6675814900577266
16355.709000000004,61.39530405405406,43.082542697185104,-2.6657640748364053
16355.709000000004,61.39530405405406,43.08277013950864,-2.6639466471599915
16691.887000000002,62.65723348348349,43.08432981059962,-2.662418684990848
16691.887000000002,62.65723348348349,43.08410239463393,-2.66423616460127
16691.887000000002,62.65723348348349,43.08387494634197,-2.6660536317570203
16691.887000000002,62.65723348348349,43.08566206894743,-2.6627081804351143
16691.887000000002,62.65723348348349,43.085434647013734,-2.664525699528255
16691.887000000002,62.65723348348349,43.08520719275298,-2.666343206165575
15777.478000000005,59.224767267267275,43.086994324550155,-2.662997693364291
16691.887000000002,62.65723348348349,43.0867668966481,-2.66481525194239
16695.966,62.67254504504504,43.08341995278065,-2.6696885286982295
16695.966,62.67254504504504,43.083647465724106,-2.667871086456528
16695.966,62.67254504504504,43.084979706165534,-2.6681607003455103
16820.491000000005,63.139981231231246,43.08631194386078,-2.668450331726121
16691.887000000002,62.65723348348349,43.086539436418185,-2.666632798063523
15777.478000000005,59.224767267267275,43.088099143537114,-2.665104821845129
,,43.08787167733768,-2.666922407452309
15777.478000000005,59.224767267267275,43.08832657740792,-2.6632872237798346
15846.524000000003,59.48394894894896,43.089203915511526,-2.667212034333381
,,43.08943138768086,-2.665394409237914
15777.478000000005,59.224767267267275,43.089658827520765,-2.6635767716831866
15481.655000000004,58.114320570570584,43.090763629079426,-2.665684014122199
15846.524000000003,59.48394894894896,43.0905361509398,-2.6675016787081867
15481.655000000004,58.114320570570584,43.0909910748888,-2.663866337075797
16820.491000000005,63.139981231231246,43.087644178809946,-2.6687399805998027
15846.524000000003,59.48394894894896,43.08897641101311,-2.6690296469680117
15846.524000000003,59.48394894894896,43.09030864047033,-2.6693193308321868
15683.035000000005,58.87025150150152,43.09164086718172,-2.6696090321937853
15457.601000000004,58.02402777777779,43.09186838362263,-2.6677913405781704
15481.655000000004,58.114320570570584,43.09209586773286,-2.6659736364994266
15481.655000000004,58.114320570570584,43.092323319512104,-2.6641559199591156
15457.601000000004,58.02402777777779,43.09342810364128,-2.6662632763710454
15457.601000000004,58.02402777777779,43.09320061356003,-2.6680810199447915
15457.601000000004,58.02402777777779,43.09297309114733,-2.6698987510542525
15481.655000000004,58.114320570570584,43.09365556139072,-2.664445520334589
15048.595000000003,56.48871996996998,43.09476033680473,-2.666552933738503
15457.601000000004,58.02402777777779,43.0945328407521,-2.6683707168094863
16167.229000000005,60.68779654654656,43.09430531236723,-2.6701884874150323
,,43.079682732105965,-2.655808838243553
,,43.07945543698012,-2.6576261972862683
15869.596000000003,59.57055555555556,43.07922810953009,-2.6594435438836155
,,43.08056038482466,-2.6597329299277592
,,43.08101501932967,-2.6560981453344072
,,43.08078771823964,-2.657915543854344
,,43.081892657374226,-2.6600223334487927
15113.337000000005,56.73174549549551,43.082119996754535,-2.6582049078970726
15113.337000000005,56.73174549549551,43.082347303809065,-2.656387469897686
15113.337000000005,56.73174549549551,43.08322492717886,-2.6603117544481707
,,43.08013722538368,-2.6521740828282963
,,43.079909994907275,-2.6539914667570383
,,43.08036442353484,-2.6503566864588963
,,43.081469524533325,-2.652463310961279
,,43.08124228809434,-2.6542807343695305
,,43.08169672864629,-2.65064587511122
15027.484000000006,56.409474474474486,43.082574578537496,-2.6545700194522044
14934.937000000004,56.06207582582583,43.08280182093946,-2.6527525565622034
14934.937000000004,56.06207582582583,43.08302903101458,-2.6509350812292474
15027.484000000006,56.409474474474486,43.083906866236845,-2.6548593220065078
15113.337000000005,56.73174549549551,43.08367958554431,-2.6566768119348234
15113.337000000005,56.73174549549551,43.083452272524866,-2.6584942894159034
15113.337000000005,56.73174549549551,43.08455719423865,-2.660601192927334
15132.185000000003,56.80249624624626,43.085011864535424,-2.656966171447279
15113.337000000005,56.73174549549551,43.084784545550704,-2.6587836884122833
15777.478000000005,59.224767267267275,43.085889458553666,-2.6608906488877233
15132.185000000003,56.80249624624626,43.086116815832156,-2.6590731048876606
15132.185000000003,56.80249624624626,43.08634414078251,-2.6572555484364884
15777.478000000005,59.224767267267275,43.08744908336928,-2.6593625388434785
14783.790000000003,55.49470720720721,43.08767641428564,-2.6575449429039013
14934.937000000004,56.06207582582583,43.084815665730865,-2.6475892378522397
14934.937000000004,56.06207582582583,43.08458851434948,-2.6494067775538137
15347.024000000003,57.60894894894896,43.08637509954975,-2.6460608082960624
14934.937000000004,56.06207582582583,43.0861479745365,-2.647878399927835
14934.937000000004,56.06207582582583,43.0859208171938,-2.6496959791190755
15347.024000000003,57.60894894894896,43.08770741157412,-2.646349948344175
14695.216000000002,55.162222222222226,43.08725311729556,-2.649985198152145
14695.216000000002,55.162222222222226,43.08748028059997,-2.648167579468999
14152.739000000003,53.12589714714716,43.0888125839213,-2.6484567764771785
14559.298,54.65201951951952,43.088585414654844,-2.6502744346544613
14934.937000000004,56.06207582582583,43.08436133063979,-2.65122430481443
14934.937000000004,56.06207582582583,43.084134114602115,-2.653041819632522
14695.216000000002,55.162222222222226,43.085466405521416,-2.6533311001736704
14695.216000000002,55.162222222222226,43.085693627521984,-2.651513545868213
15132.185000000003,56.80249624624626,43.08523915119245,-2.6551486420338835
14695.216000000002,55.162222222222226,43.087025921661265,-2.651802804392034
14455.988000000003,54.26421921921922,43.08679869369742,-2.653620398187104
15132.185000000003,56.80249624624626,43.08657143340437,-2.6554379795357796
14559.298,54.65201951951952,43.08835821305768,-2.652092080387351
14455.988000000003,54.26421921921922,43.088130979130206,-2.6539097136742646
15777.478000000005,59.224767267267275,43.087221720124,-2.661180122330797
15777.478000000005,59.224767267267275,43.08878134816216,-2.6596519902811804
14783.790000000003,55.49470720720721,43.0890086850449,-2.6578343548509604
15777.478000000005,59.224767267267275,43.08855397894971,-2.661469613257994
14907.553000000005,55.95928303303305,43.09034095306036,-2.658123784279125
15777.478000000005,59.224767267267275,43.0898862350309,-2.6617591216707637
14907.553000000005,55.95928303303305,43.09011361021087,-2.6599414592022232
15309.276000000003,57.46725225225226,43.09121848836762,-2.662048647570558
15074.050000000005,56.58427177177178,43.091673218332105,-2.658413231189832
15074.050000000005,56.58427177177178,43.09144586951551,-2.6602309456080433
14389.961000000001,54.016370120120115,43.089039720856746,-2.64663910585706
14389.961000000001,54.016370120120115,43.090372027397706,-2.6469282808361707
14109.116000000004,52.96214714714716,43.08991770927174,-2.6505636886274817
14152.739000000003,53.12589714714716,43.09014488450063,-2.648745990953815
14152.739000000003,53.12589714714716,43.091477182338,-2.649035222900355
14053.619,52.75382507507507,43.091250001146285,-2.6508529600726445
14152.739000000003,53.12589714714716,43.09170433119708,-2.647217473282944
13988.154000000004,52.5080855855856,43.09280947743349,-2.6493244723182516
13988.154000000004,52.5080855855856,43.0925822902786,-2.6511422489913965
13690.628000000002,51.391246246246254,43.093036632254965,-2.6475066831988365
14783.790000000003,55.49470720720721,43.08790371287272,-2.655727334513638
14455.988000000003,54.26421921921922,43.08969050171135,-2.6523813738556
14783.790000000003,55.49470720720721,43.089463261819844,-2.654199046636602
14783.790000000003,55.49470720720721,43.089235989597576,-2.6560167069689165
14578.544000000004,54.72426426426428,43.09056826357901,-2.6563060969030468
14251.444000000001,53.49641141141141,43.09102278762232,-2.6526706847982355
14578.544000000004,54.72426426426428,43.09079554176644,-2.6544883970755593
14578.544000000004,54.72426426426428,43.09190053481708,-2.656595504317486
14251.444000000001,53.49641141141141,43.09235507079068,-2.6529600132167004
14418.958,54.12521771771772,43.09212781897004,-2.6547777649925863
15309.276000000003,57.46725225225226,43.092550738959986,-2.6623381909588146
15074.050000000005,56.58427177177178,43.09300548086023,-2.6587026955845268
15258.982000000005,57.27846096096098,43.09277812607614,-2.6605204495000985
15181.950000000003,56.98930180180181,43.09388298680804,-2.662627751836991
14855.781000000004,55.7649436936937,43.09433774064477,-2.658992177464664
15181.950000000003,56.98930180180181,43.09411037989284,-2.6608099708798254
14855.781000000004,55.7649436936937,43.09566999768583,-2.659281676831685
14929.260000000004,56.04076576576578,43.09544263096568,-2.6610995097486807
14929.260000000004,56.04076576576578,43.095215231911865,-2.6629173302065317
14929.260000000004,56.04076576576578,43.09654747427157,-2.663206926068882
13567.219000000003,50.92799924924926,43.09436893057142,-2.6477959105852875
13690.628000000002,51.391246246246254,43.093914576668766,-2.6514315553851895
13690.628000000002,51.391246246246254,43.094141769787186,-2.6496137392089483
13567.219000000003,50.92799924924926,43.09570122614652,-2.648085155443744
13905.805000000006,52.198967717717736,43.09524686031685,-2.651720879255465
14389.672,54.01528528528528,43.09547405939918,-2.649903023573887
13567.219000000003,50.92799924924926,43.09703351898035,-2.64837441777565
13905.805000000006,52.198967717717736,43.09657914122292,-2.6520102206036698
13905.805000000006,52.198967717717736,43.096806346269524,-2.6501923254145177
13638.057000000003,51.19390765765766,43.09791141938707,-2.652299579431252
14418.958,54.12521771771772,43.09346009343075,-2.6550671503891277
14418.958,54.12521771771772,43.09323280331188,-2.656884929213681
14418.958,54.12521771771772,43.09368735121651,-2.6532493591124404
14016.995000000004,52.61634759759761,43.09479236514865,-2.6553565532666323
14016.995000000004,52.61634759759761,43.0945650690635,-2.657174371593075
13905.805000000006,52.198967717717736,43.095019628899884,-2.6535387224869016
13961.780000000004,52.40908408408409,43.0961246341238,-2.655645973626544
14218.431000000002,53.372488738738745,43.095897332072006,-2.6574638314571146
13905.805000000006,52.198967717717736,43.09635190384089,-2.6538281033415343
13869.212000000005,52.06160660660662,43.0976841760396,-2.654117501677785
14218.431000000002,53.372488738738745,43.09722959233747,-2.6577533088072536
13869.212000000005,52.06160660660662,43.09745690035629,-2.655935411470308
13638.057000000003,51.19390765765766,43.09901644549609,-2.6544069174971
13930.425000000005,52.291385135135144,43.09878916384619,-2.65622486679938
14434.703000000003,54.18432057057058,43.09856184985999,-2.6580428036449337
13930.425000000005,52.291385135135144,43.10012142459358,-2.6565143396152067
13930.425000000005,52.291385135135144,43.10034871221045,-2.6546963508009322
14352.124000000002,53.87433933933934,43.09989410463963,-2.658332315971603
13930.425000000005,52.291385135135144,43.101453682598546,-2.656803829919231
13930.425000000005,52.291385135135144,43.10168097618275,-2.654985801590714
14218.431000000002,53.372488738738745,43.09700225198351,-2.6595711936870434
14929.260000000004,56.04076576576578,43.09677487929475,-2.66138906610811
14434.703000000003,54.18432057057058,43.098334503537856,-2.6598607280321835
14434.703000000003,54.18432057057058,43.098107124880144,-2.6616786399595633
14579.184000000003,54.726666666666674,43.0978797138872,-2.663496539425491
14352.124000000002,53.87433933933934,43.09966675234897,-2.6601502798685552
14480.737000000003,54.35712087087087,43.09943936772193,-2.6619682313044812
14706.786000000002,55.20565315315316,43.09921195075888,-2.6637861702778105
14526.354000000001,54.52835585585585,43.10077160782017,-2.6622578401443158
14352.124000000002,53.87433933933934,43.10099899841691,-2.660439849197602
12929.353000000001,48.533607357357354,43.09904715107417,-2.643209781443502
13071.227000000004,49.06616741741743,43.09859295541077,-2.646845737983332
12721.12,47.75195195195195,43.1001523686889,-2.6453169841897934
12655.817000000001,47.50682057057057,43.100379456313654,-2.6434989601801577
13027.982000000005,48.90383633633635,43.099925248725754,-2.6471349957521353
12949.967000000002,48.61098723723725,43.101484665226245,-2.6456062199164094
13024.372000000005,48.890285285285294,43.10125753930007,-2.64742427099649
12944.086000000001,48.58891141141142,43.10171175881321,-2.6437881563878878
